bin_center,bin_min,bin_max,count,frequency
-7.95,-8.0,-7.9,4,2.7397072622790254e-05
-7.8500000000000005,-7.9,-7.800000000000001,22,0.0001506838994253464
-7.750000000000001,-7.800000000000001,-7.700000000000001,15,0.00010273902233546346
-7.650000000000001,-7.700000000000001,-7.600000000000001,15,0.00010273902233546346
-7.550000000000002,-7.600000000000001,-7.500000000000002,15,0.00010273902233546346
-7.450000000000002,-7.500000000000002,-7.400000000000002,14,9.58897541797659e-05
-7.350000000000002,-7.400000000000002,-7.3000000000000025,11,7.53419497126732e-05
-7.250000000000003,-7.3000000000000025,-7.200000000000003,10,6.849268155697563e-05
-7.150000000000003,-7.200000000000003,-7.100000000000003,13,8.904048602406832e-05
-7.050000000000003,-7.100000000000003,-7.0000000000000036,11,7.53419497126732e-05
-6.950000000000004,-7.0000000000000036,-6.900000000000004,17,0.00011643755864685859
-6.850000000000004,-6.900000000000004,-6.800000000000004,11,7.53419497126732e-05
-6.750000000000004,-6.800000000000004,-6.700000000000005,13,8.904048602406832e-05
-6.650000000000005,-6.700000000000005,-6.600000000000005,18,0.00012328682680255615
-6.550000000000005,-6.600000000000005,-6.500000000000005,13,8.904048602406832e-05
-6.4500000000000055,-6.500000000000005,-6.400000000000006,24,0.00016438243573674153
-6.350000000000006,-6.400000000000006,-6.300000000000006,17,0.00011643755864685859
-6.250000000000006,-6.300000000000006,-6.200000000000006,15,0.00010273902233546346
-6.150000000000007,-6.200000000000006,-6.100000000000007,17,0.00011643755864685859
-6.050000000000007,-6.100000000000007,-6.000000000000007,24,0.00016438243573674153
-5.950000000000007,-6.000000000000007,-5.9000000000000075,31,0.00021232731282662447
-5.850000000000008,-5.9000000000000075,-5.800000000000008,17,0.00011643755864685859
-5.750000000000008,-5.800000000000008,-5.700000000000008,16,0.00010958829049116101
-5.650000000000008,-5.700000000000008,-5.6000000000000085,23,0.00015753316758104397
-5.550000000000009,-5.6000000000000085,-5.500000000000009,24,0.00016438243573674153
-5.450000000000009,-5.500000000000009,-5.400000000000009,29,0.00019862877651522935
-5.350000000000009,-5.400000000000009,-5.30000000000001,24,0.00016438243573674153
-5.25000000000001,-5.30000000000001,-5.20000000000001,21,0.00014383463126964885
-5.15000000000001,-5.20000000000001,-5.10000000000001,25,0.0001712317038924391
-5.0500000000000105,-5.10000000000001,-5.000000000000011,28,0.0001917795083595318
-4.950000000000011,-5.000000000000011,-4.900000000000011,33,0.00022602584913801962
-4.850000000000011,-4.900000000000011,-4.800000000000011,37,0.0002534229217608099
-4.7500000000000115,-4.800000000000011,-4.700000000000012,50,0.0003424634077848782
-4.650000000000012,-4.700000000000012,-4.600000000000012,34,0.00023287511729371717
-4.550000000000012,-4.600000000000012,-4.500000000000012,45,0.00030821706700639035
-4.450000000000013,-4.500000000000012,-4.400000000000013,56,0.0003835590167190636
-4.350000000000013,-4.400000000000013,-4.300000000000013,42,0.0002876692625392977
-4.250000000000013,-4.300000000000013,-4.2000000000000135,45,0.00030821706700639035
-4.150000000000014,-4.2000000000000135,-4.100000000000014,64,0.00043835316196464406
-4.050000000000014,-4.100000000000014,-4.000000000000014,62,0.00042465462565324894
-3.9500000000000144,-4.000000000000014,-3.9000000000000146,65,0.00044520243012034164
-3.8500000000000147,-3.9000000000000146,-3.800000000000015,65,0.00044520243012034164
-3.750000000000015,-3.800000000000015,-3.7000000000000153,87,0.000595886329545688
